4,24,4,2022-05-27 09:59:44,2022-05-30 15:42:35,2022-04-18 09:59:33,2022-04-22 03:08:13
14,24,54,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-18 09:59:33,2022-04-19 08:38:33
34,14,4,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-18 09:59:33,2022-04-19 08:38:32
44,4,4,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-18 09:59:33,2022-04-19 08:38:31
64,14,54,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-18 09:59:33,2022-04-19 08:38:31
74,4,34,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:04:21,2022-04-19 08:38:30
84,14,34,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:04:22,2022-04-19 08:38:30
94,24,34,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:04:22,2022-04-19 08:38:29
104,44,34,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:04:23,2022-04-19 08:38:28
114,4,14,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:38:26,2022-04-19 09:41:08
124,24,14,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:38:27,2022-04-19 09:41:09
134,34,14,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:38:27,2022-04-19 09:41:09
144,44,14,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:38:28,2022-04-19 09:41:10
154,14,14,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:38:28,2022-04-19 09:41:10
164,54,14,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:44:40,2022-04-19 09:41:11
174,64,14,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:44:41,2022-04-19 09:41:11
184,4,14,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:38:26,2022-04-19 09:41:08
194,4,14,2022-05-26 09:59:44,2022-05-30 15:42:35,2022-04-19 08:38:26,2022-04-19 09:41:08
